"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"285",13,"Kendrick Bourne",NE,"WR99","11","2 out of 5 stars","-"
"286",13,"Daniel Bellinger",NYG,"TE34","13","1 out of 5 stars","-46"
"287",13,"Richie James Jr.",KC,"WR100","10","2 out of 5 stars","-30"
"288",13,"Isaiah McKenzie",IND,"WR101","11","4 out of 5 stars","-"
"289",13,"Ronald Jones II",DAL,"RB77","7","3 out of 5 stars","+9"
"290",13,"James Robinson",FA,"RB78","-","-","-24"
"291",13,"DeWayne McBride",MIN,"RB79","13","5 out of 5 stars","-21"
"292",13,"Ka'imi Fairbairn",HOU,"K20","7","5 out of 5 stars","-"
"293",13,"Riley Patterson",DET,"K21","9","1 out of 5 stars","-"
"294",13,"Cairo Santos",CHI,"K22","13","5 out of 5 stars","-"
"295",13,"Jordan Mason",SF,"RB80","9","4 out of 5 stars","-"
"296",13,"Detroit Lions",DET,"DST26","9","3 out of 5 stars","-35"
"297",13,"Luke Musgrave",GB,"TE35","6","4 out of 5 stars","-64"
"298",13,"Austin Hooper",LV,"TE36","13","5 out of 5 stars","-8"
"299",13,"Nyheim Hines",BUF,"RB81","13","2 out of 5 stars","-2"
"300",13,"Tyler Conklin",NYJ,"TE37","7","3 out of 5 stars","-79"
"301",13,"Matt Breida",NYG,"RB82","13","2 out of 5 stars","-39"
"302",13,"Minnesota Vikings",MIN,"DST27","13","2 out of 5 stars","-17"
"303",13,"Ty Chandler",MIN,"RB83","13","5 out of 5 stars","-28"
"304",13,"Latavius Murray",BUF,"RB84","13","2 out of 5 stars","-36"
"305",13,"JaMycal Hasty",JAX,"RB85","9","2 out of 5 stars","+26"
"306",13,"Kayshon Boutte",NE,"WR102","11","2 out of 5 stars","-26"
"307",13,"Laviska Shenault Jr.",CAR,"WR103","7","4 out of 5 stars","-"
"308",13,"Robbie Gould",FA,"K23","-","-","-"
"309",13,"Arizona Cardinals",ARI,"DST28","14","4 out of 5 stars","+2"
"310",13,"Tyrion Davis-Price",SF,"RB86","9","4 out of 5 stars","-"
"311",13,"Devin Duvernay",BAL,"WR104","13","3 out of 5 stars","-"
"312",13,"Quez Watkins",PHI,"WR105","10","3 out of 5 stars","+11"
"313",13,"KJ Hamler",DEN,"WR106","9","2 out of 5 stars","-"
"314",13,"Ryan Succop",FA,"K24","-","-","-"
"315",13,"Jake Moody",SF,"K25","9","2 out of 5 stars","-"
"316",13,"Nick Westbrook-Ikhine",TEN,"WR107","7","3 out of 5 stars","-"
"317",13,"Jake Ferguson",DAL,"TE38","7","3 out of 5 stars","-63"
"318",13,"Michael Badgley",DET,"K26","9","1 out of 5 stars","-"
"319",13,"Malik Davis",DAL,"RB87","7","3 out of 5 stars","-15"
"320",13,"Sean Tucker",TB,"RB88","5","3 out of 5 stars","-68"
"321",13,"Deuce Vaughn",DAL,"RB89","7","3 out of 5 stars","-96"
